transaction_id,user_id,transaction_amount,transaction_type,payment_mode,device_type,device_location,account_age_days,transaction_hour,previous_failed_attempts,avg_transaction_amount,is_international,ip_risk_score,login_attempts_last_24h,fraud_label
T103,U4859,18367.75,Payment,Card,Android,Delhi,410,11,0,13895.24,0,0.26,1,0
T104,U8933,50000.0,Payment,Card,Web,Mumbai,267,12,3,13830.99,1,0.723,1,1
T105,U3276,17727.89,Transfer,NetBanking,iOS,Bangalore,1767,9,0,12167.95,1,0.344,4,0
T106,U3176,16308.19,Transfer,UPI,iOS,Delhi,1963,16,2,13171.13,0,0.061,2,0
T107,U8374,22776.85,Payment,NetBanking,Web,Bangalore,462,20,0,15647.73,0,0.372,4,0
T108,U4402,1486.74,Transfer,UPI,Android,Chennai,242,15,0,1583.45,0,0.211,1,0
T109,U8102,16583.75,Transfer,Wallet,iOS,Delhi,1642,19,2,20856.15,1,0.173,7,0
T110,U1931,11853.13,Payment,Card,Android,Bangalore,1913,11,1,15005.71,1,0.227,2,0
T111,U1414,164.31,Payment,Wallet,iOS,Delhi,1468,19,1,200.56,0,0.12,3,0
T112,U6901,4413.67,Payment,Card,iOS,Chennai,838,10,1,4892.01,0,0.315,3,0
T113,U7216,7356.65,Payment,UPI,Android,Hyderabad,715,12,2,6809.57,0,0.183,6,0
T114,U5469,27678.46,Payment,UPI,Android,Hyderabad,1070,16,0,28557.36,0,0.424,1,0
T115,U1444,18341.99,Transfer,Wallet,Android,Hyderabad,1612,15,0,15648.87,0,0.376,5,0
T116,U6763,9383.33,Payment,Card,Web,Hyderabad,1225,10,0,11189.9,0,0.188,3,0
T117,U2657,15379.13,Payment,Card,iOS,Delhi,1374,21,1,15062.91,0,0.269,2,0
T118,U9725,17546.56,Payment,UPI,Android,Mumbai,1445,21,0,28952.8,0,0.21,5,0
T119,U6044,11101.38,Transfer,Wallet,iOS,Hyderabad,1055,10,1,7415.75,0,0.206,4,0
T120,U3640,8429.08,Payment,Card,Android,Chennai,1150,9,0,8755.56,0,0.72,5,0
T121,U7217,28722.38,Payment,Wallet,Web,Delhi,1385,20,0,28725.85,0,0.25,2,0
T122,U3019,3317.08,Payment,UPI,Android,Hyderabad,1479,18,0,2789.39,0,0.232,1,0
T123,U2245,23468.91,Transfer,Card,Android,Delhi,314,8,1,23335.75,0,0.231,6,0
T124,U6704,4491.02,Payment,NetBanking,Web,Delhi,1532,16,0,2529.57,0,0.111,3,0
T125,U4878,13929.69,Transfer,Wallet,Web,Bangalore,404,20,2,16102.87,1,0.346,3,0
T126,U5576,7739.28,Transfer,UPI,iOS,Hyderabad,482,14,1,12088.57,0,0.082,2,0
T127,U8801,6978.22,Transfer,NetBanking,iOS,Hyderabad,1023,21,3,6887.28,0,0.437,3,0
T128,U6269,683.77,Transfer,NetBanking,Web,Mumbai,515,8,2,817.35,0,0.152,2,0
T129,U6276,6673.89,Transfer,UPI,iOS,Chennai,1953,16,1,6706.44,0,0.434,4,0
T130,U3112,30322.89,Payment,NetBanking,Android,Mumbai,1494,14,0,27900.91,0,0.043,4,0
T131,U8256,18948.15,Transfer,NetBanking,Android,Mumbai,99,2,4,10921.73,0,0.345,5,1
T132,U2777,2869.09,Payment,Wallet,iOS,Mumbai,1725,21,0,2260.84,0,0.389,2,0
T133,U6123,26623.22,Withdrawal,Card,Android,Bangalore,1237,20,0,14000.85,0,0.107,3,0
T134,U8174,15987.29,Payment,Card,Android,Bangalore,569,20,3,24417.28,0,0.153,4,0
T135,U9156,16050.06,Payment,NetBanking,Web,Mumbai,549,19,1,17756.28,1,0.263,6,0
T136,U3579,4833.0,Transfer,Card,iOS,Bangalore,919,14,1,7082.55,0,0.398,4,0
T137,U4567,15806.03,Payment,Card,iOS,Delhi,992,16,0,16210.88,0,0.187,2,0
T138,U6344,9714.92,Withdrawal,Wallet,Android,Delhi,697,8,1,7368.94,0,0.217,1,0
T139,U8838,15997.58,Payment,Card,iOS,Bangalore,1891,20,3,12738.43,0,0.258,2,0
T140,U8218,25935.15,Payment,NetBanking,iOS,Hyderabad,778,21,0,20429.04,0,0.051,7,0
T141,U9837,7034.1,Payment,Card,Android,Delhi,751,12,0,8711.08,0,0.126,2,0
T142,U6603,8622.47,Payment,UPI,iOS,Hyderabad,1007,10,0,10648.73,1,0.081,2,0
T143,U8673,10693.87,Payment,Card,iOS,Mumbai,201,3,4,6004.88,0,0.691,4,1
T144,U4950,50000.0,Payment,UPI,iOS,Delhi,48,0,0,8078.74,0,0.909,8,1
T145,U2491,28804.0,Payment,Card,iOS,Delhi,1344,17,0,25821.86,0,0.236,2,0
T146,U6945,50000.0,Transfer,NetBanking,Android,Chennai,167,7,3,17931.89,1,0.955,9,1
T147,U4638,16744.25,Payment,NetBanking,Android,Mumbai,1299,7,0,18132.8,0,0.082,1,0
T148,U5128,13566.61,Transfer,Wallet,Web,Mumbai,1771,21,0,15378.1,0,0.167,4,0
T149,U1444,6204.35,Transfer,Card,Android,Delhi,1796,11,1,5018.43,0,0.288,2,0
T150,U7819,34586.02,Transfer,UPI,Android,Chennai,15,22,2,11627.4,1,0.553,3,1
T151,U2680,2685.81,Withdrawal,Card,Android,Hyderabad,1443,8,0,3440.56,0,0.217,2,0
T152,U8294,50000.0,Transfer,UPI,Android,Hyderabad,67,22,4,19994.3,0,0.665,6,1
T153,U1684,13962.15,Transfer,NetBanking,Web,Chennai,579,19,0,16957.13,0,0.092,2,0
T154,U8341,13564.18,Payment,Wallet,Android,Bangalore,1019,8,2,14048.3,0,0.141,6,0
T155,U3748,4311.41,Withdrawal,NetBanking,Android,Hyderabad,797,18,1,4087.08,0,0.184,3,0
T156,U1138,18733.52,Withdrawal,NetBanking,Web,Hyderabad,1535,12,1,19817.64,0,0.296,7,0
T157,U9178,6597.6,Withdrawal,Card,Android,Chennai,1075,9,1,9654.7,0,0.256,2,0
T158,U9945,16093.79,Payment,UPI,Android,Mumbai,1718,14,0,14877.5,0,0.112,5,0
T159,U6734,15489.02,Withdrawal,NetBanking,iOS,Bangalore,1530,11,2,15506.32,0,0.312,4,0
T160,U4701,9488.32,Payment,UPI,iOS,Delhi,1292,12,0,11079.7,0,0.223,1,0
T161,U7417,40716.0,Payment,Wallet,Android,Delhi,1968,8,0,27889.64,0,0.057,7,0
T162,U5204,1289.95,Transfer,Card,Android,Delhi,1274,13,1,1638.24,0,0.117,5,0
T163,U4941,5764.61,Payment,Wallet,Android,Bangalore,373,21,0,7921.27,0,0.219,1,0
T164,U9441,42341.17,Payment,UPI,Android,Delhi,1602,11,0,27581.15,0,0.022,4,0
T165,U3209,5923.57,Payment,NetBanking,Web,Hyderabad,506,11,1,6454.92,0,0.309,2,0
T166,U9233,4380.98,Transfer,UPI,iOS,Chennai,1294,14,2,9221.52,0,0.572,2,0
T167,U1066,24654.98,Transfer,NetBanking,iOS,Mumbai,1179,8,0,16472.63,0,0.292,1,0
T168,U9071,12299.61,Payment,NetBanking,iOS,Delhi,1781,15,0,12198.4,0,0.319,2,0
T169,U3619,13504.06,Transfer,Card,Web,Chennai,1568,20,0,22425.16,0,0.163,6,0
T170,U2977,7556.99,Payment,UPI,Android,Hyderabad,1738,18,0,9612.62,0,0.194,1,0
T171,U8015,19786.15,Transfer,NetBanking,Android,Chennai,282,14,1,16362.16,0,0.221,1,0
T172,U4468,7005.63,Payment,Card,Android,Delhi,331,12,1,8477.63,0,0.156,2,0
T173,U5047,18749.22,Payment,UPI,iOS,Hyderabad,1002,16,0,19087.63,0,0.078,2,0
T174,U4242,16497.49,Payment,Card,iOS,Mumbai,1348,12,1,20130.75,0,0.149,1,0
T175,U2327,12238.61,Transfer,Card,Android,Hyderabad,1116,11,1,9280.05,0,0.418,2,0
T176,U5232,14236.33,Payment,Card,iOS,Hyderabad,1254,15,0,23938.75,0,0.251,7,0
T177,U6484,12351.27,Payment,NetBanking,iOS,Bangalore,1148,11,0,16579.99,0,0.432,3,0
T178,U7357,2674.19,Transfer,Wallet,iOS,Bangalore,1856,20,1,1876.91,0,0.45,2,0
T179,U8244,33627.81,Payment,NetBanking,iOS,Delhi,1346,16,0,26931.58,0,0.073,3,0
T180,U8597,24813.02,Payment,NetBanking,Web,Delhi,907,11,0,25442.29,0,0.065,3,0
T181,U5146,16010.71,Transfer,NetBanking,iOS,Delhi,14,8,3,6192.13,0,0.755,4,1
T182,U9641,13713.96,Payment,Card,Android,Bangalore,1886,16,0,16317.57,0,0.096,2,0
T183,U8015,23671.14,Payment,Wallet,iOS,Hyderabad,525,10,1,22662.9,0,0.064,2,0
T184,U9101,9607.2,Transfer,Wallet,iOS,Hyderabad,1121,15,1,9926.13,0,0.208,4,0
T185,U8749,10316.82,Transfer,NetBanking,Android,Delhi,1968,12,3,7982.7,0,0.196,1,0
T186,U8205,24482.08,Payment,NetBanking,iOS,Chennai,1030,14,1,15321.58,1,0.286,2,0
T187,U6432,19468.74,Transfer,Card,Android,Bangalore,794,7,0,18510.57,0,0.297,3,0
T188,U4826,13786.39,Transfer,Wallet,iOS,Hyderabad,1003,15,0,13623.65,0,0.214,2,0
T189,U2156,26384.89,Payment,NetBanking,Android,Chennai,394,10,0,19559.53,0,0.288,4,0
T190,U5747,8324.72,Transfer,Card,Android,Mumbai,848,17,1,7069.83,0,0.164,1,0
T191,U7332,17917.54,Payment,Card,Web,Delhi,962,16,0,19642.73,0,0.075,1,0
T192,U9194,2086.26,Transfer,UPI,Web,Mumbai,466,15,0,1955.58,0,0.147,3,0
T193,U9809,17515.57,Payment,Card,Android,Chennai,1105,9,1,23314.94,0,0.012,2,0
T194,U9465,31249.14,Payment,Card,iOS,Delhi,947,17,1,24032.66,0,0.45,5,0
T195,U4696,24890.36,Payment,UPI,Web,Delhi,565,13,2,28727.3,0,0.154,2,0
T196,U7531,8973.4,Payment,Card,Web,Bangalore,1496,19,0,11499.27,0,0.064,1,0
T197,U5886,8392.07,Payment,NetBanking,iOS,Delhi,748,16,2,8751.34,0,0.386,2,0
T198,U1796,9739.18,Payment,Card,Web,Delhi,1837,14,2,8864.75,0,0.132,3,0
T199,U2966,6037.3,Withdrawal,Card,Android,Mumbai,188,13,1,7394.46,0,0.333,4,0
T200,U9554,20175.93,Payment,Card,Web,Delhi,1423,15,1,13996.63,0,0.37,6,0
T201,U9872,7854.02,Payment,NetBanking,Android,Delhi,1534,16,0,8749.07,0,0.315,5,0
T202,U5455,24108.75,Transfer,UPI,Android,Mumbai,1192,19,3,16563.85,0,0.287,3,0
T203,U6178,11193.74,Payment,UPI,Android,Delhi,836,16,0,8964.51,0,0.516,2,0
T204,U1757,31850.11,Payment,NetBanking,Android,Chennai,1313,20,0,28625.63,0,0.159,4,0
T205,U9631,25092.2,Payment,UPI,Android,Hyderabad,1062,12,1,23220.27,0,0.126,3,0
T206,U9344,50000.0,Payment,UPI,iOS,Bangalore,669,14,0,27814.16,0,0.176,1,0
T207,U3751,28341.22,Payment,Card,iOS,Mumbai,221,17,0,27671.46,1,0.164,2,0
T208,U4719,13273.54,Transfer,Card,Android,Hyderabad,555,19,0,11640.26,0,0.562,4,0
T209,U1052,933.03,Payment,NetBanking,Android,Bangalore,805,17,1,1008.16,0,0.487,3,0
T210,U9947,7631.41,Transfer,UPI,Android,Mumbai,491,19,1,8316.93,0,0.138,1,0
T211,U2142,6814.62,Payment,Card,Web,Bangalore,976,7,0,9161.95,0,0.299,8,0
T212,U7956,7790.55,Payment,NetBanking,Android,Hyderabad,1727,8,2,4935.95,0,0.314,1,0
T213,U9071,14736.77,Payment,Wallet,Android,Mumbai,578,17,0,15151.97,0,0.373,2,0
T214,U7719,24275.14,Payment,Card,Android,Chennai,579,15,2,19371.78,0,0.281,3,0
T215,U9442,5694.75,Payment,Card,iOS,Delhi,1850,20,0,5169.07,0,0.286,5,0
T216,U7485,17587.58,Transfer,Card,Android,Hyderabad,678,11,0,12046.88,0,0.155,2,0
T217,U2855,15269.16,Payment,Card,iOS,Delhi,1877,15,2,12050.59,0,0.275,3,0
T218,U3806,3483.91,Transfer,Card,Web,Hyderabad,689,19,1,4001.9,0,0.212,5,0
T219,U5660,2070.69,Payment,NetBanking,Android,Mumbai,1542,18,0,2403.8,0,0.132,8,0
T220,U2334,18826.56,Withdrawal,Card,Android,Mumbai,1424,15,0,16356.63,0,0.007,3,0
T221,U2717,27049.0,Withdrawal,Wallet,Android,Hyderabad,1665,14,0,24651.53,0,0.057,3,0
T222,U5010,22994.69,Payment,Wallet,iOS,Chennai,1389,7,0,20541.99,1,0.406,2,0
T223,U4615,2654.44,Payment,NetBanking,iOS,Chennai,1060,12,0,2667.81,0,0.291,4,0
T224,U1600,19082.18,Transfer,NetBanking,Android,Mumbai,1633,15,1,28660.85,0,0.613,2,0
T225,U4675,50000.0,Payment,Wallet,iOS,Hyderabad,48,5,3,18211.68,0,0.899,2,1
T226,U7469,12187.43,Payment,Wallet,iOS,Delhi,1323,20,1,14882.95,0,0.179,4,0
T227,U4945,8762.79,Payment,NetBanking,iOS,Mumbai,206,13,1,10198.84,1,0.413,1,0
T228,U1975,1407.28,Payment,Card,Android,Bangalore,1989,21,1,1909.75,1,0.066,2,0
T229,U2754,19539.62,Payment,UPI,Android,Hyderabad,237,17,1,18046.26,0,0.166,1,0
T230,U7358,50000.0,Transfer,Card,iOS,Mumbai,157,2,4,17903.39,1,0.89,7,1
T231,U7754,5782.42,Payment,Card,Web,Bangalore,1009,13,1,9765.62,0,0.063,1,0
T232,U5241,1484.62,Transfer,UPI,Android,Delhi,423,8,1,1773.72,0,0.043,4,0
T233,U3671,7168.08,Payment,Wallet,Android,Hyderabad,911,13,0,8086.37,0,0.357,2,0
T234,U6917,11148.77,Withdrawal,UPI,iOS,Hyderabad,1374,20,0,11608.09,0,0.365,2,0
T235,U5310,50000.0,Transfer,Card,iOS,Hyderabad,1103,19,3,15275.67,0,0.574,4,1
T236,U2742,16389.99,Transfer,NetBanking,iOS,Chennai,1022,9,0,23428.03,0,0.225,4,0
T237,U9233,10992.79,Withdrawal,Card,Web,Mumbai,1395,13,1,14752.49,0,0.31,2,0
T238,U5375,3891.87,Payment,UPI,iOS,Chennai,1164,18,1,4356.41,0,0.075,9,0
T239,U4674,40978.48,Payment,UPI,Web,Bangalore,1490,7,1,23615.22,0,0.174,3,0
T240,U5384,21698.72,Payment,NetBanking,Web,Bangalore,639,8,0,15848.56,0,0.077,4,0
T241,U2733,21388.34,Payment,Card,iOS,Chennai,638,21,0,25463.98,0,0.142,2,0
T242,U4434,703.31,Transfer,UPI,Android,Mumbai,1686,8,1,888.3,0,0.148,2,0
T243,U5944,49622.41,Transfer,Card,Android,Delhi,1590,9,0,23552.88,0,0.119,3,0
T244,U6116,672.74,Payment,UPI,iOS,Bangalore,1972,15,0,581.45,0,0.58,1,0
T245,U5047,25880.92,Payment,Card,Android,Bangalore,1136,19,2,27395.34,0,0.23,3,0
T246,U2951,11537.24,Transfer,Wallet,iOS,Hyderabad,453,7,1,18244.38,0,0.437,4,0
T247,U3514,10630.02,Payment,Card,iOS,Delhi,345,7,1,8371.03,0,0.391,1,0
T248,U2112,11058.11,Withdrawal,Card,Web,Chennai,1733,9,0,9433.44,0,0.161,3,0
T249,U5396,6589.85,Transfer,Card,Web,Bangalore,1912,10,0,6227.08,0,0.392,4,0
T250,U2718,6207.15,Payment,NetBanking,Android,Chennai,494,20,0,7596.23,0,0.488,3,0
T251,U5585,14873.3,Transfer,Card,iOS,Mumbai,1234,12,1,8783.41,0,0.189,2,0
T252,U7258,3257.51,Transfer,Card,Android,Chennai,1770,19,0,3900.1,0,0.457,4,0
T253,U1003,5622.45,Payment,NetBanking,Android,Chennai,1779,10,0,5438.86,0,0.057,6,0
T254,U9387,9314.82,Payment,Wallet,Android,Chennai,1488,12,1,6457.62,0,0.074,6,0
T255,U1683,10960.03,Payment,UPI,Android,Mumbai,1425,16,0,11522.67,0,0.039,1,0
T256,U2529,8167.9,Transfer,Card,iOS,Bangalore,298,10,3,3604.3,1,0.872,7,1
T257,U1213,18620.03,Payment,UPI,Android,Hyderabad,1621,14,1,20312.24,0,0.178,1,0
T258,U9715,23815.0,Transfer,UPI,Android,Delhi,1688,9,1,28601.48,0,0.114,2,0
T259,U6789,40842.92,Payment,Wallet,Web,Hyderabad,730,19,0,28744.37,1,0.099,2,0
T260,U9320,17477.17,Payment,NetBanking,iOS,Delhi,1208,17,1,16804.9,1,0.29,5,0
T261,U8740,50000.0,Payment,UPI,iOS,Bangalore,15,21,1,15871.18,0,0.606,6,1
T262,U4226,30020.96,Payment,Card,Web,Mumbai,1720,19,0,24811.56,0,0.053,1,0
T263,U9324,20583.81,Transfer,UPI,Android,Chennai,638,11,0,25757.41,0,0.088,2,0
T264,U9240,11462.2,Payment,Wallet,Android,Bangalore,526,18,2,9635.74,0,0.258,2,0
T265,U1052,1358.13,Withdrawal,NetBanking,iOS,Mumbai,403,14,1,1601.36,0,0.111,3,0
T266,U5010,9617.8,Transfer,NetBanking,Android,Bangalore,1774,10,1,11195.61,0,0.142,2,0
T267,U8211,9746.15,Withdrawal,NetBanking,iOS,Chennai,1188,21,1,9100.27,0,0.242,5,0
